不无	78	92	97	100
如若	72	89	94	95
風风	55	60	60	61
説说	52	58	60	61
乾干	43	47	48	48
絶绝	43	46	50	51
唇脣	39	47	48	48
无有	38	50	53	53
众衆	34	47	48	49
词辞	31	39	41	41
为爲	28	36	38	38
羣群	27	34	36	38
反返	27	30	32	33
着著	26	35	38	39
不莫	24	37	39	42
沈沉	24	32	32	32
目眼	24	28	29	29
叠迭	24	29	33	34
于於	23	30	32	33
余馀	23	27	27	27
万百	22	27	27	28
不难	22	28	29	29
北南	22	29	32	32
才材	22	27	28	29
人民	21	29	30	30
万千	21	25	25	25
床牀	21	23	23	23
不未	20	24	25	26
适適	20	24	25	26
作做	19	22	24	24
产産	18	22	22	22
弦絃	18	24	25	25
以而	17	20	22	22
初次	17	18	18	18
征徵	17	19	20	20
入出	17	18	18	19
緑绿	17	19	19	20
上下	16	16	16	16
駡骂	16	18	19	19
似如	16	19	20	20
斗鬭	16	18	18	18
头首	16	18	18	18
东西	15	19	19	20
儿兒	14	20	20	20
无没	14	18	18	19
彩采	14	15	15	15
岁年	14	19	24	25
脸面	13	19	19	19
故旧	13	14	14	14
腕腿	13	17	20	21
女男	13	17	18	18
心情	13	14	14	15
兵军	12	13	13	13
备计	12	15	15	15
漂飘	12	12	12	13
一二	12	23	27	31
信讯	12	12	15	16
犬狗	11	14	14	14
可而	11	13	13	13
下战	11	11	11	11
口嘴	11	11	13	13
原愿	11	13	13	13
体教	11	11	11	11
三二	11	36	45	48
肩腿	11	13	16	17
之诸	11	15	15	15
手腕	11	15	18	18
同异	11	12	13	13
岁日	11	15	17	18
校院	10	11	11	11
履屦	10	12	13	13
世时	10	11	11	11
中美	10	12	13	14
上络	10	11	11	11
不弗	10	11	12	12
夕暮	10	10	10	10
初高	10	20	20	20
頽颓	10	12	12	12
涂途	10	12	13	13
之而	10	14	15	15
义意	10	11	12	12
文软	10	11	12	12
脚足	10	10	11	11
智知	10	10	11	11
摘擿	9	10	10	10
妆装	9	13	14	14
大小	9	15	15	15
天日	9	12	12	12
视音	9	9	9	9
去往	9	11	11	11
托讬	9	16	17	17
顔颜	9	11	11	11
籍藉	9	9	10	10
鋭锐	9	10	12	12
路道	9	12	14	14
可易	9	9	9	9
可堪	9	9	9	9
熏薰	9	12	12	12
业品	9	10	10	11
一半	9	12	14	14
人队	9	12	15	16
外手	9	9	9	9
唯惟	9	10	10	11
言谈	9	12	13	14
言语	9	13	16	16
灶竈	9	10	10	10
十百	8	9	9	10
消销	8	9	12	14
梁粱	8	9	9	9
产商	8	11	11	12
失无	8	10	11	11
槃盘	8	9	10	11
一三	8	17	21	23
坐座	8	9	9	9
不勿	8	10	11	11
带戴	8	8	8	8
共同	8	10	11	11
巨钜	8	9	9	9
有相	8	8	8	8
一同	8	9	12	12
糁胆	8	10	11	11
启啓	8	9	9	10
两二	8	11	13	13
为作	8	13	13	13
断绝	8	11	13	14
沙砂	8	8	8	8
动静	8	10	10	10
嫉疾	8	9	9	9
汙污	8	8	8	10
学育	8	11	11	13
这那	7	8	10	10
谈谭	7	8	9	9
披被	7	9	10	10
天神	7	7	7	7
之其	7	8	8	8
死鬼	7	7	7	7
摩磨	7	7	7	7
意气	7	7	8	9
己已	7	10	10	10
中英	7	7	7	8
皁皂	7	7	8	8
知通	7	8	9	9
站页	7	8	8	8
白黑	7	8	8	8
不半	7	10	10	10
神魂	7	8	8	8
长门	7	7	8	8
升登	7	8	8	8
钟锺	7	7	7	7
肚腹	7	7	7	7
装饰	7	7	7	7
测验	7	7	7	7
弊敝	7	10	10	11
异殊	7	7	7	7
声音	7	8	10	10
作成	7	9	10	10
影景	7	7	7	7
前后	7	7	7	7
影电	7	8	8	8
之相	7	8	8	8
处管	7	8	8	8
彫雕	7	8	8	8
为成	7	10	10	11
影迹	7	7	7	7
踰逾	7	8	9	9
仇雠	7	7	8	8
鸾龙	7	8	8	8
人物	7	8	8	8
剪翦	6	7	7	7
天山	6	8	8	8
依倚	6	6	6	7
穷贫	6	6	6	6
备施	6	9	9	9
世代	6	7	9	10
鷄鸡	6	7	7	7
联连	6	7	8	8
工操	6	6	6	6
硬软	6	7	7	7
线面	6	6	6	6
卷题	6	6	6	6
中我	6	8	8	8
卫衞	6	6	6	6
产制	6	7	7	7
料胶	6	6	6	6
兵师	6	7	7	7
中里	6	9	9	9
拘羁	6	6	6	6
娱音	6	6	6	6
天身	6	6	6	6
如成	6	6	6	6
低高	6	7	7	7
师育	6	6	6	8
啮齧	6	7	8	8
一百	6	8	8	9
一两	6	8	9	9
一之	6	8	8	8
企行	6	9	12	13
业务	6	6	6	7
一壹	6	6	8	8
支枝	6	7	7	7
电通	6	6	6	6
云烟	6	9	9	9
肉骨	6	6	6	6
啜歠	6	6	6	6
手曲	6	7	7	7
心意	6	7	7	7
于如	6	11	15	16
修脩	6	7	8	8
炼鍊	6	6	6	6
雨雾	6	6	6	6
为之	6	10	11	12
盘磐	6	8	8	9
容荣	6	7	7	7
尾脑	6	9	9	9
言辞	6	10	13	13
袍靴	6	6	8	8
化学	6	7	7	7
捣擣	6	6	6	6
心肝	6	6	6	6
脑脸	6	10	10	10
心魂	6	6	6	7
复覆	6	6	7	7
水海	6	8	9	9
手首	6	7	7	7
众群	6	7	7	8
尽极	6	7	7	10
无靡	6	7	8	8
活生	6	8	8	8
流留	6	7	7	7
得德	6	7	7	7
云雨	6	7	7	7
图影	6	7	7	7
一而	6	7	7	8
别独	6	13	13	13
花风	6	7	7	8
人国	6	7	8	8
学院	6	7	7	7
检监	6	6	6	6
人入	6	6	6	6
伎技	5	6	6	6
旦朝	5	6	6	6
足趾	5	6	7	7
下落	5	5	5	5
秤称	5	5	5	5
材筑	5	5	5	5
壁璧	5	5	6	6
粗麤	5	5	6	7
华国	5	7	7	7
篮足	5	5	5	5
太泰	5	5	5	5
事是	5	5	6	6
晨朝	5	6	7	7
鳌鼇	5	5	5	5
舟船	5	5	5	5
振震	5	6	6	6
员才	5	5	5	5
站络	5	7	7	7
玉璧	5	6	6	6
中全	5	5	5	5
虫蟲	5	5	5	5
狂真	5	6	6	6
地海	5	5	5	5
三两	5	5	6	6
地日	5	6	6	6
骛鹜	5	6	6	6
索落	5	5	5	5
划画	5	6	7	7
天年	5	6	7	7
弛驰	5	6	6	6
内际	5	6	6	6
筚荜	5	6	6	7
毛毫	5	5	5	5
丧失	5	8	8	9
中高	5	15	15	15
虎龙	5	5	5	6
属抗	5	5	5	5
逢遇	5	5	7	7
净浄	5	8	9	9
拏拿	5	9	9	9
字据	5	5	5	5
志气	5	6	6	6
华花	5	7	7	7
救济	5	5	6	6
死终	5	5	5	5
好美	5	6	6	6
三四	5	16	24	28
杳渺	5	7	8	8
形行	5	6	6	7
作行	5	6	6	7
智计	5	5	5	5
学技	5	6	6	6
形踪	5	5	5	5
尽竭	5	7	7	11
胆魄	5	7	7	7
游行	5	5	6	6
利财	5	6	6	7
家门	5	5	5	5
一只	5	5	6	6
修饰	5	8	10	11
心气	5	6	6	6
坠堕	5	7	9	9
狼虎	5	5	5	6
之良	5	6	6	6
自若	5	5	5	5
两双	5	7	8	8
教老	5	5	5	5
动漫	5	5	5	5
两五	5	6	7	7
之无	5	7	7	7
淡澹	5	5	5	5
件档	5	5	5	5
强彊	5	7	8	8
涯边	5	5	6	6
敬谨	5	5	5	5
之护	5	5	5	5
策算	5	6	7	7
习習	5	7	7	8
言词	5	8	10	10
哭泣	5	5	5	5
莫难	5	11	11	11
手腿	5	7	10	11
绿黑	5	8	8	9
拙笨	5	5	5	5
心胸	5	6	8	8
乡向	5	5	5	6
瓮甕	5	8	8	8
之小	5	6	6	6
倡唱	5	7	8	8
功性	5	5	5	5
之大	5	7	7	7
右左	5	5	5	5
衣袍	5	5	5	5
闲间	5	7	9	10
斑班	5	5	6	6
犁犂	5	5	5	5
图照	5	5	5	5
人性	5	5	5	5
忙慌	5	6	7	7
合和	5	5	7	7
以相	5	5	6	6
串并	5	5	5	5
母父	5	5	5	5
心神	5	5	5	6
人其	5	5	5	5
安甘	4	4	4	4
沐浴	4	4	4	4
亡无	4	6	6	8
文纹	4	4	4	4
具有	4	4	4	4
炮砲	4	7	7	9
漓醨	4	4	4	4
校考	4	4	5	5
公铁	4	4	5	5
冲穿	4	4	4	4
医科	4	6	7	7
世切	4	4	4	4
块塊	4	5	6	6
五六	4	6	7	13
圆圜	4	4	4	4
世俗	4	6	6	6
不自	4	4	5	5
来至	4	7	8	8
冰水	4	4	5	5
蜚飞	4	4	5	5
壻婿	4	5	5	5
性液	4	4	4	4
先前	4	5	5	5
力虑	4	6	6	7
时机	4	4	4	4
东南	4	8	10	10
而自	4	4	4	5
中底	4	6	6	6
火焚	4	5	5	5
火烈	4	5	5	5
中大	4	9	9	9
事计	4	4	5	5
玉石	4	4	5	5
方模	4	4	4	4
之至	4	5	7	7
息气	4	4	4	4
德恩	4	5	6	7
丰风	4	4	4	4
台楼	4	4	4	4
心志	4	6	6	6
直而	4	4	5	5
意神	4	4	4	4
暗闇	4	5	5	5
务政	4	4	4	4
害患	4	4	5	5
巧术	4	4	4	4
内里	4	4	4	4
与予	4	4	4	4
耻辱	4	7	8	8
清轻	4	6	6	6
儿男	4	6	6	6
忍饮	4	4	4	5
发骨	4	4	4	4
反翻	4	6	7	7
料讯	4	5	5	5
加增	4	5	5	5
漫画	4	4	4	4
多洽	4	5	5	5
波风	4	7	7	7
儿子	4	7	7	7
缺阙	4	4	4	4
极竭	4	5	6	8
知识	4	5	8	8
体身	4	5	5	5
现见	4	4	4	4
浑混	4	4	4	4
危难	4	4	5	6
残遗	4	5	5	5
乏无	4	6	6	6
翥舞	4	6	7	7
玉金	4	4	4	4
餗餸	4	4	4	4
曲词	4	4	4	4
寡少	4	4	4	4
汴肝	4	4	4	4
余遗	4	6	6	6
昏晕	4	6	8	9
蠙隙	4	5	5	6
八六	4	5	5	11
大高	4	5	5	5
国央	4	5	5	5
势计	4	5	5	5
外英	4	5	7	7
凌欺	4	5	5	5
鳖鼈	4	5	5	5
刑民	4	5	5	5
垢羞	4	4	4	4
战护	4	4	4	5
战斗	4	6	6	6
竖竪	4	6	6	7
战策	4	4	4	4
厉砺	4	6	7	7
口手	4	5	6	6
善好	4	4	4	4
小细	4	4	5	5
命死	4	4	4	4
丈尺	4	4	4	4
千百	4	11	11	11
以如	4	5	5	5
泝溯	4	5	5	5
测调	4	4	4	4
学据	4	4	4	4
得骄	4	5	5	5
簑蓑	4	4	4	4
云天	4	4	5	5
出生	4	7	7	7
业服	4	4	4	4
型式	4	4	4	4
一片	4	4	5	5
则者	4	4	4	4
一不	4	5	5	5
人语	4	5	9	9
乘趁	4	6	6	6
活运	4	4	4	4
扬飏	4	5	5	5
厘釐	4	5	5	5
珠金	4	4	4	4
功工	4	4	4	4
家际	4	4	4	4
学工	4	4	4	4
会能	4	4	4	4
志智	4	6	6	6
一大	4	5	6	7
肩胸	4	5	5	5
乎呼	4	4	4	4
相而	4	4	4	4
济营	4	5	5	5
罪过	4	5	5	5
手指	4	4	4	4
手掌	4	4	4	4
杜闭	4	5	5	5
信邮	4	4	4	4
綫线	4	4	4	4
倔强	4	4	4	4
数汉	4	4	4	4
水路	4	4	4	4
綳绷	4	5	6	7
讲说	4	4	4	4
手笔	4	5	5	5
虀齑	4	6	6	6
局线	4	4	4	4
彻澈	4	5	5	5
义气	4	5	7	7
之者	4	4	4	4
名高	4	4	4	4
源讯	4	5	5	5
动植	4	5	7	7
同若	4	7	7	8
他我	4	6	7	7
巿市	4	4	4	4
代管	4	4	4	4
赍齎	4	4	4	4
纳遮	4	4	4	4
名誉	4	4	5	6
哩里	4	4	4	4
断败	4	5	6	6
壶壸	4	4	4	4
光魂	4	6	7	8
之有	4	7	7	8
义谊	4	6	7	7
说道	4	5	8	9
言颜	4	4	5	5
伏服	4	4	4	5
常长	4	5	5	5
抬擡	4	5	5	5
件故	4	6	6	6
各独	4	10	10	10
飡餐	4	9	10	10
寸片	4	4	4	4
少无	4	6	6	6
言论	4	7	8	8
含衔	4	5	5	5
敛赋	4	4	4	4
毒酸	4	4	4	4
哄轰	4	4	5	5
化数	4	8	8	8
懽欢	4	4	5	5
心身	4	6	6	7
名品	4	4	4	4
亢吭	4	4	4	4
克斯	4	4	4	4
水火	4	7	7	8
政法	4	4	4	4
筋精	4	4	4	4
同如	4	5	6	7
原源	4	6	6	6
信消	4	4	4	4
处居	4	5	5	5
岐歧	4	4	4	5
之心	4	4	4	4
日昼	4	7	8	8
之奇	4	4	4	4
挽輓	4	4	4	4
望闻	4	4	4	4
